name	d (m)	v1	v2	angle1 (deg)	angle2 (deg)	trackpoints
a221	80	v267	v028	-172	73	-0.365967,50.832211,0 -0.365984,50.83213,0 -0.366156,50.832114,0 -0.366959,50.83196,0
a222	134	v268	v114	12	174	-0.368487,50.815504,0 -0.368436,50.815652,0 -0.368401,50.815855,0 -0.368418,50.816273,0 -0.368484,50.816704,0
a223	32	v114	v117	-105	75	-0.368484,50.816704,0 -0.368929,50.816631,0
a224	97	v269	v270	95	-81	-0.39366,50.829014,0 -0.393355,50.828996,0 -0.39278,50.828939,0 -0.392292,50.82889,0
a225	51	v270	v271	8	-172	-0.392292,50.82889,0 -0.392196,50.829349,0
a226	48	v270	v272	-173	7	-0.392292,50.82889,0 -0.39238,50.828459,0
a227	58	v273	v274	-9	171	-0.373513,50.829378,0 -0.373636,50.82989,0
a228	49	v273	v275	-98	82	-0.373513,50.829378,0 -0.374204,50.82932,0
a229	78	v273	v276	83	-97	-0.373513,50.829378,0 -0.372417,50.829462,0
a230	78	v277	v278	-90	90	-0.383946,50.81409,0 -0.385052,50.814084,0
a231	106	v277	v279	178	-2	-0.383946,50.81409,0 -0.383897,50.813139,0
a232	83	v277	v280	90	-90	-0.383946,50.81409,0 -0.382762,50.814085,0
a233	7	v281	v282	-109	117	-0.376557,50.82952,0 -0.376603,50.82951,0 -0.376646,50.829524,0
a234	55	v281	v283	114	-49	-0.376557,50.82952,0 -0.376383,50.829472,0 -0.375938,50.829224,0
a235	7	v281	v284	27	162	-0.376557,50.82952,0 -0.376535,50.829547,0 -0.37655,50.829576,0
a236	6	v285	v286	-1	179	-0.369182,50.829952,0 -0.369184,50.830009,0
a237	34	v287	v288	-179	1	-0.369679,50.830314,0 -0.369688,50.830008,0
a238	53	v289	v290	175	-5	-0.357185,50.825956,0 -0.357114,50.825478,0
a239	95	v289	v291	90	-90	-0.357185,50.825956,0 -0.355833,50.825956,0
a240	19	v289	v292	-4	176	-0.357185,50.825956,0 -0.357205,50.826122,0
a241	103	v293	v294	90	-91	-0.374586,50.819369,0 -0.373333,50.819369,0 -0.373121,50.819372,0
a242	82	v293	v295	-90	90	-0.374586,50.819369,0 -0.375755,50.819372,0
a243	214	v293	v296	-5	-91	-0.374586,50.819369,0 -0.374701,50.820194,0 -0.372967,50.820217,0
a244	151	v297	v298	-107	86	-0.378068,50.833193,0 -0.378781,50.833052,0 -0.379162,50.832971,0 -0.379492,50.83291,0 -0.379812,50.83288,0 -0.380139,50.832865,0
a245	297	v297	v299	172	33	-0.378068,50.833193,0 -0.37764,50.831192,0 -0.377726,50.830954,0 -0.378084,50.830611,0
a246	89	v297	v300	74	-94	-0.378068,50.833193,0 -0.37789,50.833226,0 -0.377748,50.833249,0 -0.377418,50.833287,0 -0.377118,50.833314,0 -0.376817,50.833328,0
a247	100	v124	v301	132	-48	-0.362757,50.82514,0 -0.361703,50.824533,0
a248	111	v302	v029	-90	90	-0.365489,50.832731,0 -0.367074,50.832735,0
